"customer_name";"customer_email";"product_name";"quantity_sold";"sale_amount";"sale_date";"transaction_ID"
"Junia Goldsack";"jgoldsack1w@fc2.com";"Milk";4;270;"2024-07-16";69
"Sheree Leport";"sleport1x@bloglines.com";"Bread - Whole Wheat";6;206;"2024-03-09";70
"Hakim Kingstne";"hkingstne1y@npr.org";"Eggs - 6 Pack";5;201;"2024-09-29";71
"Lyon Daville";"ldaville1z@storify.com";"Butter - Unsalted";8;247;"2024-02-04";72
"Gregoor Tadlow";"gtadlow20@nymag.com";"Apples - Green";10;251;"2023-05-06";73
"Kain Merrywether";"kmerrywether21@ted.com";"Rice - Basmati";5;24;"2024-03-19";74
"Christoffer Hayton";"chayton22@plala.or.jp";"Apples - Green";4;226;"2024-11-06";75
"Weidar Saffin";"wsaffin23@ifeng.com";"Chips - Salted";2;37;"2023-05-17";76
"Normy Bulcock";"nbulcock24@ted.com";"Pasta - Penne";9;276;"2024-08-08";77
"Unknown";"Unknown";"Soft Drink - Cola";1;52;"2024-01-14";79
"Blanch Woodcock";"bwoodcock27@va.gov";"Eggs - 12 Pack";5;9;"2024-12-10";80
"Skye Ryce";"sryce28@scientificamerican.com";"Chicken - Breast";2;229;"2024-04-10";81
"Rancell Snoad";"rsnoad29@fotki.com";"Rice - Basmati";10;128;"2024-03-05";82
"Derk Palphramand";"dpalphramand2a@diigo.com";"Cereal - Chocolate";5;78;"2024-03-23";83
"Richy Swinerd";"rswinerd2b@bbc.co.uk";"Chips - Barbecue";7;258;"2024-12-29";84
"Alexa Waldera";"awaldera2c@weather.com";"Eggs - 12 Pack";1;18;"2023-08-17";85
"Fonzie Wildor";"fwildor2d@yale.edu";"Cheese - Mozzarella";4;298;"2024-05-06";86
"Dyana Hustings";"Unknown";"Cereal - Cornflakes";7;47;"2024-10-07";87
"Cyndia Kitteringham";"ckitteringham2f@wiley.com";"Eggs - 6 Pack";7;57;"2024-01-31";88
"Pattin Rickards";"prickards2h@virginia.edu";"Beef - Steak";4;115;"2024-09-09";90
"Alexis Sline";"asline2i@sitemeter.com";"Chicken - Thigh";3;144;"2024-07-02";91
"Morly Corstorphine";"mcorstorphine2j@army.mil";"Bananas";3;217;"2024-12-31";92
"Kylila Wallege";"kwallege2l@angelfire.com";"Rice - Jasmine";2;272;"2024-11-08";94
"Kahlil Carillo";"kcarillo2m@lulu.com";"Apples - Red";9;116;"2024-08-05";95
"Deonne Conerding";"dconerding2n@nymag.com";"Soft Drink - Cola";3;189;"2023-09-10";96
"Adelbert Thrift";"athrift2o@constantcontact.com";"Milk";10;272;"2024-07-27";97
"Reynold MacTerrelly";"rmacterrelly2q@dedecms.com";"Juice - Apple";9;164;"2024-04-05";99
"Annamaria Arndt";"aarndt2r@google.com.hk";"Carrots - 1kg";9;67;"2023-08-15";100
"Cornelius Krollmann";"ckrollmann2s@360.cn";"Potatoes - 1kg";2;3;"2024-03-21";101
"Kiri Maplethorpe";"kmaplethorpe2t@soup.io";"Oranges";4;47;"2024-03-09";102
"Annaliese Bennis";"abennis2u@dmoz.org";"Chips - Barbecue";5;35;"2023-08-21";103
"Meier Cordobes";"mcordobes2v@desdev.cn";"Butter - Salted";7;76;"2024-04-01";104
"Inessa Gammet";"igammet2w@diigo.com";"Butter - Salted";5;32;"2023-12-13";105
"Desi Skillings";"dskillings2x@cloudflare.com";"Juice - Apple";4;84;"2023-08-17";106
"Unknown";"cgriffith2y@com.com";"Eggs - 6 Pack";3;281;"2023-05-28";107
"Osbourn Farrear";"ofarrear2z@issuu.com";"Oranges";1;278;"2024-01-24";108
"Unknown";"Unknown";"Pasta - Penne";1;211;"2024-06-22";109
"Tess Syrett";"tsyrett31@gov.uk";"Chicken - Breast";10;187;"2023-10-21";110
"Bord Fold";"Unknown";"Onions - 1kg";10;28;"2024-09-01";111
"Farris Burns";"fburns33@slate.com";"Rice - Basmati";9;82;"2024-08-09";112
"Fonsie Carwithim";"fcarwithim34@stanford.edu";"Fish - Salmon";7;73;"2024-07-20";113
"Fredrika Missen";"fmissen35@twitpic.com";"Bananas";10;179;"2023-05-19";114
"Arni Gonnel";"agonnel36@bandcamp.com";"Beef - Steak";9;96;"2023-09-16";115
"Prue Gittings";"pgittings37@newsvine.com";"Juice - Apple";5;256;"2023-07-28";116
"Unknown";"kmansour39@tamu.edu";"Ice Cream - Chocolate";2;164;"2025-01-01";118
"Alyss Seifenmacher";"aseifenmacher3a@unblog.fr";"Milk";7;262;"2024-03-25";119
"Nero Allsupp";"nallsupp3d@theguardian.com";"Water - Bottled";10;155;"2024-06-28";122
"Franz Camellini";"Unknown";"Rice - Jasmine";7;35;"2024-02-18";125
"Sibella Ammer";"Unknown";"Apples - Green";5;286;"2023-12-28";126
"Dulci Sheppard";"dsheppard3k@1und1.de";"Cereal - Chocolate";8;36;"2024-12-31";129
"Belva Abrahamian";"babrahamian3l@xing.com";"Chips - Salted";3;94;"2024-03-20";130
"Farica de Keep";"fde3m@imageshack.us";"Cereal - Chocolate";5;261;"2024-06-21";131
"Marget Tarrant";"mtarrant3o@4shared.com";"Bread - White";7;89;"2023-11-28";133
"Unknown";"gpunt3p@mapquest.com";"Juice - Orange";9;176;"2025-01-06";134
"Benedikt Dent";"bdent3q@ox.ac.uk";"CHICKEN - Thigh";8;88;"2024-05-11";135
"Ana Rosso";"arosso3r@wiley.com";"Rice - Jasmine";8;292;"2024-10-06";136
"Geoff Mingardi";"Unknown";"Butter - Unsalted";6;156;"2024-05-02";138
"Orton Cotty";"ocotty3u@devhub.com";"Cereal - Cornflakes";8;126;"2024-04-15";139
"Mordy Langelaan";"mlangelaan3w@amazon.co.jp";"Bananas";6;237;"2024-11-19";141
"Ansell Darker";"adarker3x@europa.eu";"Yogurt - Strawberry";2;146;"2023-09-04";142
"Nefen Guille";"nguille3y@squidoo.com";"Rice - Jasmine";5;101;"2023-09-02";143
"Elinore Bright";"ebright3z@usda.gov";"Onions - 1kg";1;156;"2023-05-15";144
"Upton Rosberg";"urosberg40@indiatimes.com";"Pasta - Penne";10;173;"2023-06-09";145
"Unknown";"ddeandisie42@shinystat.com";"Chicken - Thigh";5;54;"2024-05-14";147
"Parrnell Debell";"pdebell43@intel.com";"Beef - Ground";1;165;"2024-05-16";148
"Amalle Lazarus";"alazarus44@hc360.com";"Potatoes - 1kg";5;11;"2023-05-11";149
"Lannie Brew";"lbrew46@123-reg.co.uk";"Pasta - Spaghetti";1;163;"2024-01-29";151
"Archy Shillaber";"ashillaber47@parallels.com";"Juice - Orange";1;118;"2023-08-24";152
"Cristina Turbat";"Unknown";"Eggs - 6 Pack";3;4;"2024-12-20";153
"Ellery Atwell";"eatwell49@sphinn.com";"Bananas";8;142;"2023-08-12";154
"Urson Diglin";"udiglin4a@hostgator.com";"Carrots - 1kg";8;110;"2023-12-01";155
"Karissa Livingstone";"Unknown";"Pasta - Penne";4;107;"2024-03-31";156
"Kerry Coronas";"kcoronas4d@ezinearticles.com";"Milk";7;83;"2024-12-21";158
"Charlena Jollands";"cjollands4e@topsy.com";"Bread - White";2;287;"2023-11-21";159
"Alasdair Laxen";"alaxen4f@hp.com";"Juice - Apple";6;114;"2023-06-06";160
"Vincenz McDoual";"vmcdoual4g@sciencedirect.com";"Cheese - Cheddar";8;113;"2023-08-16";161
"Glynnis Isabell";"Unknown";"Oranges";2;127;"2024-01-09";162
"Lenna Barbara";"lbarbara4i@odnoklassniki.ru";"Juice - Orange";8;92;"2024-11-07";163
"Marco Barthram";"mbarthram4j@posterous.com";"Butter - Salted";3;83;"2023-10-11";164
"Adelaida Drews";"adrews4m@people.com.cn";"Soft Drink - Cola";4;86;"2024-12-21";167
"Bogey Sloat";"bsloat4n@facebook.com";"Bananas";10;195;"2024-10-27";168
"Raeann Harbage";"rharbage4o@deliciousdays.com";"Oranges";4;203;"2023-06-12";169
"Kaine Christophersen";"kchristophersen4p@indiegogo.com";"Cereal - Chocolate";2;54;"2024-10-23";170
"Lindsay Shouler";"lshouler4q@oracle.com";"Rice - Jasmine";10;16;"2023-06-23";171
"Gav Ping";"gping4r@thetimes.co.uk";"Bread - Whole Wheat";7;71;"2024-07-25";172
"Wrennie Kezourec";"wkezourec4s@cbsnews.com";"Rice - Basmati";7;272;"2023-09-16";173
"Candis Hannam";"channam4t@omniture.com";"Eggs - 12 Pack";8;91;"2024-08-18";174
"Kathy Steuhlmeyer";"ksteuhlmeyer4v@istockphoto.com";"Soft Drink - Lemon";8;217;"2024-11-09";176
"Kimberlee Cantero";"kcantero4w@squidoo.com";"Apples - Red";7;218;"2024-04-28";177
"Cherye Youthed";"cyouthed4x@samsung.com";"Ice Cream - Vanilla";4;137;"2023-08-31";178
"Carmencita D'Aguanno";"cdaguanno4y@canalblog.com";"Onions - 1kg";4;135;"2023-10-10";179
"Prudy Moreside";"pmoreside4z@dropbox.com";"Rice - Basmati";2;54;"2023-08-24";180
"Pascale Curgenven";"pcurgenven50@histats.com";"Beef - Steak";6;170;"2023-11-18";181
"Unknown";"mjerrams51@cornell.edu";"Soft Drink - Lemon";7;284;"2023-07-13";182
"Darn Trevain";"dtrevain52@patch.com";"Rice - Basmati";9;147;"2024-09-22";183
"Kilian Shipston";"kshipston53@fda.gov";"Apples - Red";4;69;"2024-11-21";184
"Paulina Gorwood";"pgorwood54@accuweather.com";"Potatoes - 1kg";9;185;"2024-11-15";185
"Geoff Cuddehay";"gcuddehay55@nba.com";"Chicken - Thigh";3;70;"2023-07-13";186
"Alys Stutt";"astutt56@marriott.com";"Water - Bottled";2;139;"2024-05-02";187
"Dahlia Sharrocks";"Unknown";"Juice - Apple";4;8;"2023-08-19";188
"Hale Groome";"hgroome58@nationalgeographic.com";"Oranges";1;75;"2023-07-06";189
"Manny Manneville";"mmanneville59@time.com";"Cereal - Chocolate";9;194;"2024-11-05";190
"Victor Pemberton";"vpemberton5a@hc360.com";"Cheese - Mozzarella";9;295;"2024-12-02";191
"Thomasa Crathorne";"tcrathorne5b@barnesandnoble.com";"Butter - Unsalted";4;266;"2024-07-12";192
"Ninnetta Franzolini";"nfranzolini5c@nasa.gov";"Oranges";6;274;"2024-09-20";193
"Blondy Papachristophorou";"bpapachristophorou5d@irs.gov";"Soft Drink - Cola";5;140;"2023-08-18";194
"Kit Androck";"Unknown";"Chips - Barbecue";1;8;"2024-08-20";195
"Valaree Buxton";"vbuxton5g@t.co";"Beef - Ground";3;168;"2024-09-25";197
"Orsola Risom";"orisom5h@canalblog.com";"ONIONS";4;268;"2024-11-03";198
"Jessalyn Barnwall";"jbarnwall5i@friendfeed.com";"Rice - Basmati";1;40;"2023-09-22";199
"Gus Callear";"gcallear5j@multiply.com";"Yogurt - Strawberry";9;241;"2023-11-11";200
"Aeriel Hucker";"ahucker5l@networksolutions.com";"Soft Drink - Lemon";8;83;"2023-12-31";202
"Tobi Emilien";"temilien5m@sakura.ne.jp";"Beef - Ground";1;272;"2024-05-31";203
"Myrtice Ludford";"mludford5n@unblog.fr";"Bread - White";5;218;"2024-02-17";204
"Goldi Helliar";"ghelliar5o@ucla.edu";"Cheese - Mozzarella";2;55;"2024-05-24";205
"Sandor Gutch";"sgutch5p@simplemachines.org";"Pasta - Penne";9;113;"2023-12-19";206
"Stephie Mathen";"smathen5r@bluehost.com";"Butter - Unsalted";10;116;"2023-09-25";208
"Shela Robecon";"srobecon5s@seesaa.net";"Eggs - 12 Pack";10;289;"2024-03-31";209
"Annice Taysbil";"ataysbil5t@123-reg.co.uk";"Cheese - Mozzarella";7;199;"2024-02-02";210
"Clayborne Marwick";"cmarwick5u@zimbio.com";"Apples - Red";7;279;"2023-07-02";211
"Ivan MacFaell";"imacfaell5x@bizjournals.com";"Ice Cream - Chocolate";7;243;"2023-09-24";214
"Dorine Nicholl";"dnicholl5y@webs.com";"Oranges";3;196;"2024-12-26";215
"Randie Dolton";"rdolton60@japanpost.jp";"Chicken - Thigh";4;223;"2024-06-16";217
"Thornie Sawood";"tsawood61@indiegogo.com";"Bread - Whole Wheat";1;165;"2024-12-30";218
"Mata Armand";"marmand62@biglobe.ne.jp";"Butter - Salted";1;43;"2024-03-11";219
"Unknown";"aanderl63@123-reg.co.uk";"Fish - Tuna";4;4;"2024-08-17";220
"Unknown";"cmennithorp64@ustream.tv";"Fish - Tuna";1;66;"2024-05-29";221
"Mercedes Spriggen";"mspriggen65@com.com";"Pasta - Spaghetti";4;53;"2023-08-06";222
"Unknown";"aalbarez66@ameblo.jp";"Soft Drink - Lemon";7;44;"2023-12-03";223
"Rubie Sirkett";"rsirkett67@phpbb.com";"Yogurt - Plain";9;275;"2024-05-20";224
"Raeann Jacobsohn";"rjacobsohn68@seesaa.net";"Apples - Green";4;109;"2024-08-30";225
"Unknown";"ewyleman69@youku.com";"Butter - Unsalted";2;26;"2024-11-17";226
"Esra Itzhaiek";"eitzhaiek6a@mozilla.com";"Juice - Apple";4;72;"2024-03-31";227
"Holli Siemianowicz";"hsiemianowicz6b@alibaba.com";"Yogurt - Strawberry";3;207;"2024-01-04";228
"Sashenka Skehens";"Unknown";"Cheese - Cheddar";2;268;"2024-07-20";229
"Seymour McArte";"smcarte6d@gravatar.com";"Cheese - Mozzarella";5;146;"2024-09-07";230
"Selie Jannasch";"sjannasch6e@123-reg.co.uk";"Chips - Barbecue";3;8;"2023-08-22";231
"Berty Downs";"bdowns6f@unc.edu";"Juice - Orange";6;156;"2024-09-07";232
"Karrie Rushbury";"krushbury6g@youku.com";"Soft Drink - Cola";3;69;"2024-10-02";233
"Gilli Labes";"glabes6h@state.tx.us";"Carrots - 1kg";4;144;"2024-02-27";234
"Deonne Anselm";"danselm6j@china.com.cn";"Carrots - 1kg";2;168;"2023-05-20";236
"Maryjane Westhead";"mwesthead6k@geocities.jp";"Carrots - 1kg";6;85;"2024-06-13";237
"Nathanael Winspire";"nwinspire6l@state.gov";"Butter - Salted";4;204;"2024-04-03";238
"Anthea Bethell";"abethell6m@statcounter.com";"Milk";6;36;"2024-06-21";239
"Ludwig Tye";"Unknown";"Rice - Jasmine";1;112;"2024-05-23";240
"Penelope Joskowitz";"pjoskowitz6p@hubpages.com";"Soft Drink - Cola";2;222;"2024-07-10";242
"Claudia Exall";"cexall6q@ovh.net";"Chips - Barbecue";7;276;"2024-09-30";243
"Faustine Doram";"Unknown";"Cheese - Cheddar";1;96;"2024-01-21";245
"Tulley Buddleigh";"tbuddleigh6t@stanford.edu";"Fish - Salmon";6;222;"2024-09-11";246
"Sibella Nashe";"snashe6u@buzzfeed.com";"Chicken - Thigh";4;174;"2024-04-05";247
"Perren Evesque";"pevesque6v@cloudflare.com";"Carrots - 1kg";2;145;"2023-06-21";248
"Casi Jankovsky";"cjankovsky6w@bing.com";"Fish - Salmon";7;173;"2023-06-07";249
"Blinni Keen";"bkeen6x@exblog.jp";"Rice - Jasmine";2;96;"2023-10-18";250
"Florance Marriott";"fmarriott6y@umich.edu";"Juice - Apple";7;233;"2024-09-17";251
"Paulie Capps";"pcapps70@cargocollective.com";"Potatoes - 1kg";2;125;"2023-07-28";253
"Shay Gerckens";"sgerckens71@cnn.com";"Butter - Unsalted";2;105;"2024-11-30";254
"Cassandry Dy";"Unknown";"Yogurt - Plain";3;272;"2024-03-15";255
"Donovan Fullicks";"dfullicks75@telegraph.co.uk";"Cheese - Mozzarella";3;53;"2024-02-27";258
"Nert Murricanes";"nmurricanes77@mapy.cz";"Yogurt - Plain";5;27;"2024-06-11";260
"Kira Gibberd";"kgibberd7a@vk.com";"Cheese - Mozzarella";4;148;"2023-12-09";263
"Conway Naisey";"Unknown";"Cheese - Mozzarella";1;154;"2024-09-13";264
"Frederich Pourveer";"fpourveer7c@blog.com";"Cheese - Cheddar";2;298;"2024-01-03";265
"Goldarina Cassin";"Unknown";"Juice - Apple";2;180;"2023-10-09";267
"Julie Lotte";"jlotte7g@blogtalkradio.com";"Chicken - Thigh";5;82;"2023-10-14";269
"Maressa Brownlie";"mbrownlie7h@tamu.edu";"Beef - Steak";7;98;"2024-05-05";270
"Brendis Emmet";"bemmet7i@ameblo.jp";"Soft Drink - Cola";1;252;"2024-01-14";271
"Andria Dreger";"adreger7k@google.com.au";"Chicken - Thigh";6;249;"2024-06-19";273
"Alexandrina Cawker";"acawker7m@ibm.com";"Butter - Salted";5;167;"2024-02-16";275
"Chrystal Serraillier";"cserraillier7n@intel.com";"Carrots - 1kg";10;114;"2024-11-19";276
"Karly Cole";"kcole7o@un.org";"Milk";6;173;"2023-10-24";277
"Margareta Haston";"mhaston7r@alibaba.com";"Cereal - Chocolate";7;245;"2023-08-22";280
"Papageno Voas";"pvoas7s@ycombinator.com";"Carrots - 1kg";10;238;"2024-05-15";281
"Unknown";"Unknown";"Eggs - 6 Pack";1;36;"2024-10-12";282
"Zorina Stubley";"Unknown";"Potatoes - 1kg";3;101;"2023-08-11";285
"Harv Mutimer";"hmutimer7x@mysql.com";"Soft Drink - Cola";8;186;"2023-12-19";286
"Porty Antonietti";"pantonietti7y@yellowpages.com";"Cereal - Cornflakes";10;126;"2024-01-13";287
"Lemmie Febre";"lfebre7z@adobe.com";"Milk";7;298;"2023-09-02";288
"Odelle Saunier";"osaunier80@unblog.fr";"Onions - 1kg";9;104;"2024-11-24";289
"Merrily McDarmid";"mmcdarmid82@scribd.com";"Rice - Basmati";3;114;"2023-05-25";291
"Shaylyn Ubach";"subach83@parallels.com";"Yogurt - Strawberry";2;127;"2023-06-03";292
"Madlen Hamprecht";"Unknown";"Soft Drink - Cola";1;138;"2025-01-03";294
"Unknown";"ijeanneau86@harvard.edu";"Bread - White";4;300;"2024-11-06";295
"Unknown";"fpetruska87@google.com.br";"Eggs - 6 Pack";7;66;"2024-05-04";296
"Worth Kenward";"Unknown";"Cheese - Mozzarella";2;148;"2024-11-21";297
"Brittaney Humby";"bhumby89@miibeian.gov.cn";"Chicken - Breast";9;121;"2024-10-06";298
"Abran Lemmon";"alemmon8a@guardian.co.uk";"Yogurt - Strawberry";1;299;"2024-05-04";299
"Sher Heindle";"sheindle8b@blogs.com";"Milk";8;288;"2024-06-05";300
"Katharina Ashleigh";"kashleigh8c@elegantthemes.com";"Carrots - 1kg";1;35;"2023-07-12";301
"Jasun Kitching";"jkitching8d@google.co.jp";"Juice - Apple";9;120;"2024-05-19";302
"Heinrick Ragdale";"hragdale8e@arizona.edu";"Fish - Tuna";10;36;"2024-06-27";303
"Vera Danielczyk";"vdanielczyk8g@delicious.com";"Onions - 1kg";4;77;"2024-07-02";305
"Mort Littledyke";"mlittledyke8h@foxnews.com";"Water - Bottled";10;193;"2023-05-24";306
"Rivkah MacCoveney";"rmaccoveney8k@twitpic.com";"Bread - Whole Wheat";3;29;"2023-07-06";309
"Port Harte";"pharte8l@netvibes.com";"Bananas";9;31;"2024-09-10";310
"Nevsa La Rosa";"Unknown";"Milk";4;101;"2023-11-19";312
"Bridie Sprey";"bsprey8o@indiatimes.com";"Eggs - 12packs";8;222;"2024-04-24";313
"Tilda Saunper";"tsaunper8p@whitehouse.gov";"Apples - Green";8;188;"2024-05-13";314
"Kaila Baudin";"kbaudin8q@scientificamerican.com";"Apples - Green";8;115;"2023-05-29";315
"Hamid Finnie";"hfinnie8s@wikimedia.org";"Potatoes - 1kg";3;184;"2023-12-18";317
"Danna Belone";"Unknown";"Eggs - 6 Pack";5;64;"2024-04-18";318
"Belvia Batsford";"bbatsford8w@umn.edu";"Rice - Basmati";2;247;"2023-10-14";321
"Jenica Scattergood";"Unknown";"Chicken - Breast";7;221;"2024-06-26";322
"Nicoline Brou";"nbrou8y@chicagotribune.com";"Eggs - 12 Pack";9;21;"2024-12-02";323
"Zacherie Gubbin";"zgubbin8z@slideshare.net";"Ice Cream - Vanilla";7;154;"2024-12-29";324
"Unknown";"blatore90@live.com";"Rice - Basmati";9;149;"2023-11-24";325
"Roxine Powers";"rpowers91@home.pl";"Cheese - Mozzarella";9;236;"2024-03-24";326
"Lucais Ollerhad";"lollerhad94@mashable.com";"Ice Cream - Vanilla";4;139;"2023-12-11";329
"Todd Sacher";"tsacher95@sfgate.com";"Bananas";4;170;"2024-05-22";330
"Unknown";"lbillett96@statcounter.com";"Carrots - 1kg";9;117;"2024-11-28";331
"Christopher Munt";"cmunt97@nsw.gov.au";"Fish - Tuna";8;41;"2024-12-10";332
"Annabel di Rocca";"adi98@parallels.com";"Beef - Steak";3;250;"2024-08-20";333
"Aurie Formie";"Unknown";"Chicken - Thigh";10;22;"2024-09-03";334
"Cherin Etuck";"cetuck9a@dropbox.com";"Milk";4;292;"2023-10-02";335
"Ronna Kobu";"rkobu9b@163.com";"Cheese - Cheddar";7;86;"2023-12-29";336
"Justinian Wimpenny";"jwimpenny9c@homestead.com";"Beef - Steak";4;6;"2023-06-20";337
"Philis McAughtry";"pmcaughtry9d@twitpic.com";"Fish - Salmon";2;294;"2024-06-24";338
"Meriel Nosworthy";"Unknown";"Pasta - Penne";5;93;"2023-12-12";339
"Gilles Ceschelli";"gceschelli9f@dailymail.co.uk";"Yogurt - Strawberry";10;285;"2024-01-24";340
"Sven Deverale";"sdeverale9h@forbes.com";"Carrots - 1kg";6;284;"2024-01-02";342
"Pete Morecombe";"pmorecombe9i@washington.edu";"Chips - Salted";7;89;"2023-05-23";343
"Agustin Heyburn";"aheyburn9k@drupal.org";"Butter - Salted";7;189;"2023-12-27";345
"Brice Wedderburn";"bwedderburn9l@list-manage.com";"Chips - Barbecue";1;298;"2024-01-15";346
"Melanie Towndrow";"mtowndrow9o@census.gov";"Chicken - Breast";5;241;"2023-06-10";349
"Catlin Hourahan";"chourahan9p@imdb.com";"Juice - Apple";2;56;"2024-01-14";350
"Hardy Jonathon";"hjonathon9q@accuweather.com";"Apples - Red";1;6;"2024-03-03";351
"Marjorie Paolini";"mpaolini9t@soundcloud.com";"Onions - 1kg";1;185;"2024-11-11";354
"Hurlee Brashier";"hbrashier9u@wisc.edu";"Yogurt - Plain";2;300;"2024-05-28";355
"Felita Heisham";"fheisham9v@parallels.com";"Butter - Salted";10;187;"2023-09-03";356
"Danya Issacof";"dissacof9w@google.ca";"Onions - 1kg";3;71;"2023-06-14";357
"Raphael Tison";"rtison9x@about.me";"Yogurt - Plain";5;144;"2024-04-27";358
"Adrienne Giamitti";"agiamitti9y@webs.com";"Fish - Tuna";6;258;"2024-02-12";359
"Patsy O'Gleasane";"pogleasane9z@dell.com";"Ice Cream - Vanilla";5;211;"2024-03-01";360
"Elana Symers";"Unknown";"Fish - Salmon";3;126;"2023-12-03";362
